الا عاملين Dislike دول اكيد مش بيفهمو وربنا 😏😏,1
nooo way الغبي هيفضل غبي,1
اللى عامل unlike دا ما بيفهمش والله,1
اتجوزتيه وانت عندك ١٨ سنه وقعدتى ١٧ سنه متجوزاه وبقالك سنه منفصلة يعنى حضرتك عندك ٣٥ سنه ؟؟؟!!! ده عند أمه يا أدهم 😁 fake وماعجبتنيش,1
"خطأ طبي في 2021؟؟؟؟؟ 
Shame on you Egypt 🤦‍♀️🤦‍♀️",1
ما هذا ال shit,1
فكرة اللمبي مسروقة من شخصية Jerry lewiss  اكتبو علي يوتيوب الاسم ده يطلع لكم افلامه,1
"اللى عاملين Unlike اغبى منه فيه
مايعرفون من فن",1
690 dislike ليييييييييييييييييييييييييه انتوا ما بتحسوش ؟؟؟!!!!,1
نفسي افهم مين المجنون اللي داس dislike,1
انا مش عارف اللى بيعمل dis like ده بيعمله ازاى صحيح مش كل الناس بتفهم,1
و ربنا اللي عامل dislike دا مش بيفهم في الاغاني :/,1
"اللى عامل Dislike للأغنية دى مش عاملها علشان صوت دنيا وحش او الكلمات مش حلوة
هو عامل Dislike علشان اتفشخ فى احساسه بزيادة",1
"يا بنت الحرامية سارقه الفكرة من Indila - la derniere danse

يا حراميا",1
صوتها ضعيف جدا و الاغنية FAKE اويييييي :&,1
"مين البهايم مع الاعتذار للبهايم ,,, اللي عاملين Dislike !!!",1
في التعليقات بنات بتكتب السونج دي .. السونج السونج .. اسمها أغنية بالعربي او song بالانجليزي .. ايه القرف دا .. يا تكتبي الجملة كاملة عربي يا كاملة انجليزي او فرنسي او اي لغة .. حاجة مستفزة ..,1
على فكره دى عالم اغبيا اصلا ميعرفوش like من dislike,1
اية الغلاسة دي ?! طيب متفترقوش بس تعمل unlike عشان التفاهة دي !,1
اللـ عاملين unlike . . عايزين يتحاكموا,1
"752 Dislike ? 
انتوا شكلكوا من الى بيحبوا اوكا و اورتيجا",1
726 عاملين dislike دول موش بيفهمو,1
710 Dislike   انتو عايشين إزاي كدا ؟,1
الـــنـــاس الـــلـــي عـــامـــلـــيـــن Dislike دول آخـــرهـــم يـــســـمـــعـــوا أوكآآآ و اورتيجآآآ,1
ده في ناس عاملة dislike :/ الناس دي جاية من كوكب تاني ولا ايه,1
يلي عامل dislike قلبو حجر,1
في 89 حمار عاملين Unlike :-/,1
اموت واعرف مين ولاد المره اللي عاملين dislike -_- >_<,1
الناس اللى عامله dislike  مش هيموتو موته طبيعية,1
3 اللى عاملين dislike دول لازم يتشنقو فى ميدان عام,1
"انا نفسي اشوف اللي عاملين dis like.
عشان انفخهم",1
هشام جمال ده شخصية fake,1
"Rudy manc فكرة المزيكا من 
غبي حافظ مش فاهم ابتكرو وبلاش غباء",1
اللي دايس dislike احب اقولك انت مبتفهمش,1
"14 k dislikes 
فعلا ناس بتكره الجمال ناس بتكره نفسها ربنا يهديهم لنفسهم",1
13000 مريض عاملين Dislike   >>>>,1
نفسى اهم اى باقف عامل dislike على الفيديو على اساس ايه..,1
هو اللى عاملين unlike دول مرضى نفسيين,1
الناس الحلاليف اللي عاملين unlike ملتهم ايه,1
الناس اللى عاملة dislike دى عاملاه على ايه ؟؟؟ انتو ناس طبيعية ؟؟😣😣,1
"رامز جلال 
ur not good ur sick 
انت خطير على المجتمع 🌚🌚🌚💟💟💟",1
مش عاجبني ال intro,1
Dislike وأفتخر ✌🏻,1
حلقه fake جدا,1
"الاغنية مسروقة من فيلم هندي اسمه KGF و تتر النهاية كذلك
لينك الاغنية الأصلية",1
التتر مسروق من أغنية اجنبية اسمها the future of warfare,1
"الأغنية مسروقة بالحرف من هنا؛: 
The future of warfare sabaton",1
"كثير اكره زينه بس انت غلطت معها ولازم تدفع ثمن الغلط لانه الاطفال مالهم اي ذنب 
وانت تعرف تماما انهم اولادك من تحليل DNA",1
ربنا ينتقم منك يا احمد عز ربنا ظهر الحق لو دول مش عياله كان راح عمل تحليل DNA وكان قطع الشك باليقين لكنه هرب ﻻنه جبان ومش راجل زي الحرامي يعمل العملة وبهرب,1
انتا مشخصاتي يعني بتحلف كدب روح اعمل dna واحسم لو انتا واثق من حالك ومظلوم,1
"حسستني اخذت الاوسكار
Over over",1
هى over ليه كدة,1
انا داخل بس اعملكم DISLIKE,1
"No comment 🤮🤮🤮🤮🤮
بجد حاجة أخر إسفاف ورخص",1
احلي dislike علي عيونكم 😂🙂,1
كنت متوقعه انه يكون وحش بس بعد مشوفته طلع eggs,1
ايه الخرا دا wtf,1
كدا كتير ياعمر بجد حرااااااام ومش اسف انى عملت dislike,1
كالعادة مش خسارة فيك ال dislike و ال report 😇,1
داخل اعمل dislike  وامشي,1
لما تعمل video clib ب اتنين جنيه,1
اخراجيا تعبانة اوي ومطلعش من زوية شكلك فيها مش حلو والفيديو من متلون متاخد كادرات غبية طب الاخراج الاغنية بقا ازبل من الاخراج لحن خرا وكلمات اخرا overall shit,1
خرة يا فنانة انا للأسف عملت كومنت وعملت ليكم قيمة بس حرفيا اوسخ اغنية سمعتها في حياتي انتوا couple لايق على بعضه,1
"I think :
ان الاغنيه خرا اوي يعني بجد",1
محبتش اكمل الحلقه بعد ما سمعت اول جمله لبسمه مع dislike,1
بسمه وهبه بتشتغل ع الفضايح بس عشان ال views ، مذيعه خرا 🤮🤮,1
اللحن مسروق من أغنية ho jaane do aar paar من فيلم KGF,1
10 ألاف dislike من تجار المخدرات 🙃,1
تجار الحشيش عاملين dislike,1
8400 الف مختل عقليا عامل unlike,1
اللى عامل dislike مبيفهمش,1
اللي عملين dislike انتوا ناس معاقين,1
والله القناه الوحيده اللي بيسيب الاعلان شغال ومش بعملو skip,1
المتوحدين فشخ الى عاملين dislike ؟!!,1
الناس اللي dislike انتو محتاجين تتعالجوا,1
1.1k dislike يا كفره 😂😂,1
انا اطالب بإعدام ال25 الف متخلف الي عاملين Dislike,1
٢٥ ألف جاحد عاملين dislike,1
مين الحيوانات اللي عاملين dislike دول ...,1
الموسيقى مسروقة حرفياً من مسلسل better call saul الجزء الأول، الحلقة الثامنة، الدقيقة 26,1
"23 الف unlike ؟؟؟؟؟؟؟؟؟؟
انتوا مرضى نفسيين صراحه عاوزين التعري والكلام البذيء عشان يعجبكم",1
اللحن مسروق من موسيقي اسمها cold coffe للأسف,1
الناس إلى عامله dislike دول عالم متوحدة,1
20 ألف عرص عاملين dislike,1
آل 19 الف المعقدين الي عاملين un like دول يغور من هنا لو مش عجبهم الأغنية يبعدو عننا بعقدهم 😒😒😒,1
انا نفسي أعرف ال17000 دول مش عاملين like ليه اكيد دول مش بيفهموا,1
